,@id,prefLabel,udunits
193,http://vocab.nerc.ac.uk/collection/P06/current/FGPL/,Femtograms per litre,fg l-1
194,http://vocab.nerc.ac.uk/collection/P06/current/UUUD/,Micromoles per square metre per day,umol m-2 day-1
195,http://vocab.nerc.ac.uk/collection/P06/current/UGGR/,Micrograms per gram,ug g-1
196,http://vocab.nerc.ac.uk/collection/P06/current/UYMD/,Gregorian date (yyyymmdd),gregorian date
197,http://vocab.nerc.ac.uk/collection/P06/current/NMMD/,Nanomoles per micromole per day,nmol umol-1 day-1
198,http://vocab.nerc.ac.uk/collection/P06/current/MBQK/,Millibecquerels per kilogram,mBq kg-1
199,http://vocab.nerc.ac.uk/collection/P06/current/UGPM/,MicroGals per metre,microGals m-1
200,http://vocab.nerc.ac.uk/collection/P06/current/DKM2/,Degrees Celsius kilogram per square metre,degree_C kg m-2
201,http://vocab.nerc.ac.uk/collection/P06/current/UBQK/,Becquerels per kilogram,Bq kg-1
202,http://vocab.nerc.ac.uk/collection/P06/current/PPPS/,per Pascal per second,Pa-1 s-1
203,http://vocab.nerc.ac.uk/collection/P06/current/MSPM/,MilliSiemens per metre,mS m-1
204,http://vocab.nerc.ac.uk/collection/P06/current/UGPL/,Micrograms per litre,ug l-1
205,http://vocab.nerc.ac.uk/collection/P06/current/WMSW/,Watts per square metre per inverse metre per steradian,W m-2 inverse-1 m sr-1
206,http://vocab.nerc.ac.uk/collection/P06/current/UMDX/,Millimoles per square metre per day,mmol m-2 day-1
207,http://vocab.nerc.ac.uk/collection/P06/current/MMSM/,Millimoles per square metre,mmol m-2
208,http://vocab.nerc.ac.uk/collection/P06/current/VVML/,Millilitres,ml
209,http://vocab.nerc.ac.uk/collection/P06/current/MGPM/,MilliGals per month,milliGals month-1
210,http://vocab.nerc.ac.uk/collection/P06/current/UATM/,Microatmospheres,uatm
211,http://vocab.nerc.ac.uk/collection/P06/current/UMIN/,Minutes,minute
212,http://vocab.nerc.ac.uk/collection/P06/current/UKWN/,Not known,not known
213,http://vocab.nerc.ac.uk/collection/P06/current/UMTE/,Square metres.Hertz^4,m Hz42
214,http://vocab.nerc.ac.uk/collection/P06/current/UPVW/,Picomoles per metre per watt per second,pmol m-1 W-1 s-1
215,http://vocab.nerc.ac.uk/collection/P06/current/UWCM/,Watts per cubic metre,W m-3
216,http://vocab.nerc.ac.uk/collection/P06/current/EVLT/,Electronvolts,eV
217,http://vocab.nerc.ac.uk/collection/P06/current/UPDY/,per day,day-1
218,http://vocab.nerc.ac.uk/collection/P06/current/UPOP/,Percent per metre,% m-1
219,http://vocab.nerc.ac.uk/collection/P06/current/WMSS/,Watts per square metre per steradian,W m-2 sr-1
220,http://vocab.nerc.ac.uk/collection/P06/current/UMEC/,MicroEinsteins per cubic metre per second,ueinstein m-3 s-1
221,http://vocab.nerc.ac.uk/collection/P06/current/MCMD/,Millimoles per cubic metre per day,mmol m-3 day-1
222,http://vocab.nerc.ac.uk/collection/P06/current/WSMM/,Watt seconds per square metre,W s m-2
223,http://vocab.nerc.ac.uk/collection/P06/current/UPNM/,Nanomoles per litre,nmol l-1
224,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/,Litres,l
